% [Description]
% EMI Scan QP

% [Header]
% Detector Mode=QP
% Dwell Time=0.2s
% Attenuation Level=AutodB
% Frequency Unit=Hz
% OverRange Flag=0
% Amplitude Unit=dB /m
% IF Filter=120kHz
% Scan=Scan1
% RF Port=RF1
% Transducer1=FP17_N4to6_LMR400_2_5m_Flex
% Transducer2=CB3-FP16-N5
% Transducer3=CB3_AP9_N5_to_FP17_N
% Transducer4=CB3_AP9_N5_LMR400
% Transducer5=N5
% Transducer6=20240926_cable_N_N_10m_AntennaCable_Blue_FTB_B
% Transducer7=Schwarzbeck VULB 9162 with Broadband TRILOG Antenna FTB-B  7GHz
% Transducer8=Attenuator 6dB

% [Data: f, Magnitude original, Magnitude with Transducer]
58662109.375  22.056 40.309
58710937.500  21.101 39.346
58759765.625  23.786 42.025
58808593.750  22.072 40.303
58857421.875  21.254 39.474
58906250.000  23.670 41.879
58955078.125  22.023 40.231
59003906.250  21.131 39.330
59052734.375  23.656 41.841
59101562.500  22.120 40.291
59150390.625  21.128 39.293
59199218.750  23.739 41.899
59248046.875  22.107 40.251
59296875.000  21.180 39.321
59345703.125  23.648 41.780
59394531.250  22.176 40.291
59443359.375  21.183 39.291
59492187.500  23.599 41.700
59541015.625  22.187 40.280
59589843.750  21.095 39.175
59638671.875  23.648 41.721
59687500.000  22.089 40.153
59736328.125  21.204 39.253
59785156.250  23.674 41.711
59833984.375  22.021 40.049
59882812.500  21.202 39.224
59931640.625  23.820 41.832
59980468.750  22.204 40.208
60029296.875  21.185 39.179
60078125.000  23.750 41.729
60126953.125  21.970 39.939
60175781.250  21.050 39.016
60224609.375  23.658 41.609
60273437.500  22.102 40.042
60322265.625  21.285 39.218
60371093.750  23.709 41.638
60419921.875  21.990 39.908
60468750.000  21.275 39.178
60517578.125  23.737 41.630
60566406.250  22.083 39.965
60615234.375  21.328 39.199
60664062.500  23.784 41.647
60712890.625  22.061 39.914
60761718.750  21.230 39.074
60810546.875  23.671 41.503
60859375.000  22.083 39.904
60908203.125  21.331 39.143
60957031.250  23.704 41.509
61005859.375  22.120 39.913
61054687.500  21.292 39.072
61103515.625  23.846 41.612
61152343.750  22.262 40.015
61201171.875  21.310 39.052
61250000.000  23.696 41.432
61298828.125  22.165 39.889
61347656.250  21.179 38.890
61396484.375  23.866 41.563
61445312.500  22.222 39.909
61494140.625  21.310 38.985
61542968.750  23.822 41.481
61591796.875  22.184 39.825
61640625.000  21.347 38.973
61689453.125  23.852 41.473
61738281.250  22.323 39.930
61787109.375  21.356 38.952
61835937.500  23.732 41.318
61884765.625  22.186 39.755
61933593.750  21.225 38.781
61982421.875  23.800 41.350
62031250.000  22.090 39.627
62080078.125  21.239 38.764
62128906.250  23.623 41.137
62177734.375  22.123 39.626
62226562.500  21.343 38.833
62275390.625  23.823 41.296
62324218.750  22.230 39.692
62373046.875  21.258 38.708
62421875.000  23.902 41.342
62470703.125  22.254 39.682
62519531.250  21.111 38.524
62568359.375  23.716 41.110
62617187.500  22.151 39.526
62666015.625  21.251 38.610
62714843.750  23.766 41.122
62763671.875  22.151 39.490
62812500.000  21.103 38.426
62861328.125  23.746 41.065
62910156.250  22.078 39.381
62958984.375  21.229 38.513
63007812.500  23.788 41.064
63056640.625  22.264 39.525
63105468.750  21.457 38.701
63154296.875  23.684 40.916
63203125.000  22.019 39.238
63251953.125  21.374 38.582
63300781.250  23.780 40.976
63349609.375  22.115 39.296
63398437.500  21.169 38.334
63447265.625  23.734 40.881
63496093.750  22.285 39.419
63544921.875  21.408 38.534
63593750.000  23.736 40.847
63642578.125  22.239 39.339
63691406.250  21.309 38.403
63740234.375  23.739 40.820
63789062.500  22.151 39.214
63837890.625  21.227 38.274
63886718.750  23.739 40.769
63935546.875  22.175 39.185
63984375.000  21.445 38.443
64033203.125  23.815 40.802
64082031.250  22.159 39.136
64130859.375  21.255 38.212
64179687.500  23.751 40.687
64228515.625  22.195 39.113
64277343.750  21.320 38.223
64326171.875  23.773 40.666
64375000.000  22.212 39.093
64423828.125  21.405 38.272
64472656.250  23.755 40.605
64521484.375  22.113 38.950
64570312.500  21.359 38.182
64619140.625  23.864 40.673
64667968.750  22.217 39.008
